,business_name,location,inspection_score,foursquare_id,foursquare_name
105,CHATZ,"(37.762334, -122.398416)",84.7142857143,4a4a3036f964a52092ab1fe3,Chatz Coffee
106,Caffe Ambrosia,"(37.790109, -122.402597)",99.0,4a972df7f964a520d82820e3,Caffe Ambrosia
107,Calzone's,"(37.798965, -122.408204)",86.2307692308,49c9a70bf964a5208e581fe3,Calzone's Pizza Cucina
108,Rose Pistola,"(37.799915, -122.409544)",85.7777777778,4b8966faf964a520cb3232e3,Rose Pistola Stand
109,Bohemian Cigar Store,"(37.800135, -122.409854)",91.6,49f264f8f964a520286a1fe3,Mario's Bohemian Cigar Store Cafe
110,Vieni-Vieni,"(37.798914, -122.408885)",92.6666666667,4b6cfc70f964a520a7612ce3,Vieni Vieni Lucky Spot
111,North Beach Restaurant,"(37.799646, -122.408939)",81.6153846154,4283ee00f964a5209b221fe3,North Beach Restaurant
112,Hawaii West,"(37.798494, -122.409337)",89.5,43768200f964a5203b2a1fe3,Hawaii West
113,My Canh Restaurant,"(37.797828, -122.407474)",86.6428571429,49fbeee3f964a520816e1fe3,My Canh
114,The Stinking Rose,"(37.798306, -122.407327)",90.3,3fd66200f964a520a9ed1ee3,The Stinking Rose
115,L'Osteria Del Forno,"(37.799837, -122.409517)",88.5,442cff4cf964a520d2311fe3,L'Osteria Del Forno
116,Yuet Lee Restaurant,"(37.797817, -122.408597)",84.4444444444,4a87bcf3f964a520e10420e3,Yuet Lee
117,Garden of Eden,"(37.797933, -122.406018)",95.3333333333,4b3af0def964a520f16f25e3,Garden of Eden
118,Sam's Pizza,"(37.797828, -122.407444)",87.0,4acf0122f964a52042d220e3,Sam's
119,Taqueria Zorro,"(37.798065, -122.406855)",79.5714285714,49de5ffdf964a52049601fe3,Taqueria Zorro
120,Franchino,"(37.798427, -122.407507)",91.375,4a7cd069f964a520bbed1fe3,Franchino
121,Caffe Greco,"(37.79886, -122.408204)",87.8461538462,429f9d80f964a520c1241fe3,Caffé Greco
122,Mara's,"(37.799501, -122.409084)",91.2727272727,4a8f6f7ff964a520461520e3,Mara's Italian Pastry
123,Il Pollaio,"(37.800036, -122.409817)",86.2142857143,4bc7787c15a7ef3ba77779da,Il Pollaio
124,Ristorante Ideale,"(37.799003, -122.407274)",87.0,40bbc700f964a520a9001fe3,Ristorante Ideale
125,Mo's Grill,"(37.799058, -122.407217)",75.1111111111,4a76580bf964a520dfe21fe3,Mo's Grill
126,Maykadeh Restaurant,"(37.799758, -122.407113)",77.625,4ab5b7aaf964a520ec7520e3,Maykadeh Persian Cuisine
127,Columbus Cafe,"(37.799598, -122.408394)",87.25,3fd66200f964a52030ed1ee3,Columbus Cafe
128,"Silverhat Bar, Inc","(37.799388, -122.410223)",92.2222222222,4ff3996ce4b0f33161388e9e,The Incubator Bar
129,Tommaso,"(37.797398, -122.405322)",90.75,49e05c38f964a52052611fe3,Tommaso's Restaurant
130,The House,"(37.798519, -122.407071)",83.6666666667,4b0a2fe5f964a520492223e3,The House
131,Dol-Ho Restaurant,"(37.796718, -122.408714)",75.8378378378,4b182641f964a520c9cd23e3,Dol Ho
132,San Francisco Athletic Club,"(37.800897, -122.409189)",74.0,53992b2b498e79c674541458,San Francisco Athletic Club
133,Caffe Trieste,"(37.798744, -122.407408)",86.9230769231,43bfc471f964a520222d1fe3,Caffe Trieste
134,Roxanne Cafe,"(37.790003, -122.408688)",81.8947368421,4bb0e669f964a52035683ce3,Roxanne's Cafe
